Brain-region,NLL,EV,MSLL,BIC,Skew,Kurtosis
lh_S_temporal_transverse_thickness,3736.266496,0.164592602,-0.085220066,7512.183773,0.479075147,0.318822804
lh_MeanThickness_thickness,-17712.47874,0.581741716,-0.4156396,-35385.30669,-0.219080903,0.814435497
BrainSegVolNotVent,258551.4152,0.346916629,2.03182577,517142.4479,-12.61057985,169.5759341
rh_G&S_frontomargin_thickness,-4916.137527,0.281960457,-0.159580633,-9792.624076,0.13375288,1.075902611
rh_G&S_occipital_inf_thickness,-3606.663719,0.202143329,-0.10501019,-7173.676459,0.097258798,0.216646808
rh_G&S_paracentral_thickness,-4715.661658,0.352943576,-0.213650729,-9391.672338,0.084140125,0.702637533
rh_G&S_subcentral_thickness,-5638.45951,0.302144312,-0.163431546,-11237.26804,0.180543101,0.205048287
rh_G&S_transv_frontopol_thickness,-4789.275623,0.372773151,-0.217345768,-9538.900268,0.266877581,0.96526232
rh_G&S_cingul-Ant_thickness,-9873.384458,0.437937265,-0.279746308,-19707.11794,-0.02519007,0.999072964
rh_G&S_cingul-Mid-Ant_thickness,-8185.988262,0.40400468,-0.259377939,-16332.32555,-0.117111297,1.310107299
rh_G&S_cingul-Mid-Post_thickness,-11545.17887,0.438644123,-0.276610052,-23050.70736,-0.04342671,0.980795467
rh_G_cingul-Post-dorsal_thickness,-5972.435434,0.359121286,-0.199490515,-11905.22009,-0.154929833,0.875376688
rh_G_cingul-Post-ventral_thickness,317.7911113,0.259995353,-0.142225223,675.2332009,0.035834359,0.406773526
rh_G_cuneus_thickness,-10992.71005,0.508415578,-0.361933745,-21945.76913,0.550577998,2.061050284
rh_G_front_inf-Opercular_thickness,-7480.805619,0.456674912,-0.302014397,-14921.96026,0.126896088,0.424449349
rh_G_front_inf-Orbital_thickness,-619.5109187,0.335125313,-0.191042639,-1199.370859,0.051573059,0.861352506
rh_G_front_inf-Triangul_thickness,-5312.809289,0.448151027,-0.277533128,-10585.9676,0.017754973,0.446739273
rh_G_front_middle_thickness,-8996.288708,0.502875069,-0.348930477,-17952.92644,-0.232036223,1.053218018
rh_G_front_sup_thickness,-8424.859305,0.47145725,-0.319057421,-16810.06763,0.029198408,0.582354157
rh_G_Ins_lg&S_cent_ins_thickness,3897.123881,0.082540508,-0.041865259,7833.89874,0.020475981,0.018452142
rh_G_insular_short_thickness,2311.398304,0.119009329,-0.062221721,4662.447586,-0.004405145,-0.061377639
rh_G_occipital_middle_thickness,-8295.268485,0.349053599,-0.225847363,-16550.88599,-0.108834823,0.960458294
rh_G_occipital_sup_thickness,-5892.335562,0.404341366,-0.281752843,-11745.02015,0.025618296,0.484818448
rh_G_oc-temp_lat-fusifor_thickness,-7691.799963,0.285908571,-0.182903831,-15343.94915,-0.085978835,0.659191476
rh_G_oc-temp_med-Lingual_thickness,-10544.17535,0.521066463,-0.383815632,-21048.69972,0.249018131,0.821832782
rh_G_oc-temp_med-Parahip_thickness,-970.7074105,0.155735031,-0.086148795,-1901.764239,-0.03678818,0.151613478
rh_G_orbital_thickness,-7453.337625,0.320099321,-0.189957771,-14867.02427,0.038910641,0.450039235
rh_G_pariet_inf-Angular_thickness,-6938.183164,0.422151737,-0.274223116,-13836.71535,-0.324001985,0.813702614
rh_G_pariet_inf-Supramar_thickness,-7579.549375,0.408320745,-0.257837263,-15119.44777,-0.129417705,0.472130545
rh_G_parietal_sup_thickness,-7165.903852,0.481631244,-0.323496082,-14292.15673,0.042025347,0.494858928
rh_G_postcentral_thickness,-3972.290165,0.311039684,-0.184054936,-7904.929352,0.068356817,0.850397285
rh_G_precentral_thickness,-2306.46488,0.273400764,-0.135627167,-4573.278782,-0.70541693,2.06756104
rh_G_precuneus_thickness,-8587.933098,0.467147691,-0.305918561,-17136.21522,0.189476558,0.475921376
rh_G_rectus_thickness,-2319.042097,0.210006575,-0.098239122,-4598.433414,0.07179981,1.17856761
rh_G_subcallosal_thickness,13892.92778,0.157206151,-0.095205293,27825.50634,0.380089803,0.464839601
rh_G_temp_sup-G_T_transv_thickness,-205.1781556,0.321422614,-0.180935417,-370.7053328,0.065896902,0.276609533
rh_G_temp_sup-Lateral_thickness,-3263.365685,0.282628705,-0.14219496,-6487.080392,-0.095959666,0.433879608
rh_G_temp_sup-Plan_polar_thickness,2154.272394,0.172901106,-0.097135474,4348.195767,-5.83E-05,0.336231064
rh_G_temp_sup-Plan_tempo_thickness,-3850.483608,0.321961888,-0.167424084,-7661.316238,0.102180908,0.246217418
rh_G_temporal_inf_thickness,-5995.944179,0.278484991,-0.156142539,-11952.23758,-0.008855166,0.336847135
rh_G_temporal_middle_thickness,-7098.49761,0.346760426,-0.196253221,-14157.34424,-0.251290552,1.108657672
rh_Lat_Fis-ant-Horizont_thickness,-1536.563677,0.27362993,-0.134740958,-3033.476375,0.428351855,0.742831535
